# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
3.2             	U               	(-7.61956011e-01 -1.24260711e-02 -1.17440221e-02)	(3.12500000e-01 4.05442538e-01 -2.20534709e-01)	(-3.70852073e-02 1.34879747e-01 2.29249380e-02)	(1.04166668e-01 -1.03557602e-01 -3.01203677e-01)
3.2             	p               	-4.31062196e+01	(1.04161576e-01 -1.62469780e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
3.25            	U               	(-1.15410956e+00 -2.19982678e-02 -6.64781666e-03)	(3.12500000e-01 2.53039280e-01 -3.42731516e-01)	(-6.45056479e-02 1.09585256e-02 1.84853411e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
3.25            	p               	-4.13221515e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
3.3             	U               	(-1.19547047e+00 -1.98230240e-03 -1.43540485e-02)	(5.20833333e-01 1.68399695e-01 3.48575906e-01)	(-7.57459167e-02 1.21949441e-02 2.31450704e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
3.3             	p               	-3.70331227e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
3.35            	U               	(-1.75320100e+00 -1.51848214e-02 -5.81240178e-03)	(3.12500000e-01 -2.68623925e-01 2.56145742e-01)	(-8.20962513e-02 1.34042248e-02 2.70462042e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
3.35            	p               	-3.03593697e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
3.4             	U               	(-1.91456075e+00 -3.83330996e-02 -1.26514928e-02)	(3.12500000e-01 -2.56145742e-01 2.68623925e-01)	(-7.98740526e-02 1.74218900e-02 3.54729736e-02)	(1.04166667e-01 -2.34124561e-01 4.37566951e-01)
3.4             	p               	-2.17545735e+01	(1.04166668e-01 -1.12774051e-01 -4.82940049e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
3.45            	U               	(-1.96272432e+00 -3.74514807e-01 -3.43779667e-01)	(1.04166668e-01 2.26737066e-01 -2.98624805e-01)	(-7.23668082e-02 1.82644127e-02 3.65704395e-02)	(1.04166667e-01 -2.62270845e-01 4.21434988e-01)
3.45            	p               	-1.17985434e+01	(1.04166666e-01 -2.04984173e-01 -4.51856272e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
3.5             	U               	(-1.88877298e+00 -3.31395424e-01 -3.74996462e-01)	(1.04166667e-01 1.58250731e-01 -3.19924728e-01)	(-2.41794577e-02 3.00552713e-02 1.18969462e-01)	(1.04166668e-01 -1.11172818e-01 4.74022503e-01)
3.5             	p               	-1.12608047e+00	(1.04166666e-01 -2.62270845e-01 -4.21434988e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
3.55            	U               	(-1.70141106e+00 -2.41069536e-01 -4.15430497e-01)	(1.04166667e-01 1.43426801e-01 -3.56242701e-01)	(4.16716978e-02 3.40772435e-02 2.12138830e-01)	(1.04166666e-01 -7.81573312e-02 4.67644855e-01)
3.55            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	9.88574761e+00	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
3.6             	U               	(-1.42568678e+00 -1.86237608e-01 -4.21251298e-01)	(1.04166668e-01 1.18012057e-01 -3.62912134e-01)	(8.37587055e-02 3.39464193e-02 1.83627562e-01)	(1.04166668e-01 -1.08961562e-01 4.61707639e-01)
3.6             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	2.01018106e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
3.65            	U               	(-1.10594912e+00 -1.58498470e-01 -4.31908752e-01)	(1.04166668e-01 8.65119179e-02 -3.36681685e-01)	(8.15812610e-02 2.76837373e-02 1.41679553e-01)	(1.04166668e-01 -1.39314894e-01 4.53857465e-01)
3.65            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	2.90387472e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
3.7             	U               	(-8.66139269e-01 -1.41838754e-01 -3.80504917e-01)	(1.04166667e-01 8.08522842e-02 -3.05162209e-01)	(7.85685149e-02 5.99060231e-02 1.82257662e-01)	(1.04166667e-01 -1.24868900e-02 8.86818671e-02)
3.7             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.61318685e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
3.75            	U               	(-3.31802824e-01 -1.18103530e-01 -3.08021715e-01)	(1.04166667e-01 5.69667966e-02 -2.32696208e-01)	(2.58823455e-01 1.16339390e-02 3.59751404e-01)	(1.04162856e-01 -4.20706632e-02 4.06147495e-01)
3.75            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.09488722e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
3.8             	U               	(-3.72465694e-01 -1.00322587e-01 -9.24422727e-02)	(1.04166667e-01 -2.68623925e-01 -2.56145742e-01)	(6.61165683e-01 -1.60888224e-03 2.91923248e-01)	(1.04162120e-01 -1.40398253e-02 4.07786745e-01)
3.8             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.32153278e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)
3.85            	U               	(2.43603685e-03 -1.56589030e-01 -1.71143002e-02)	(1.04166668e-01 -2.71783183e-01 -2.34665011e-01)	(6.56695480e-01 9.81538487e-03 2.28618872e-01)	(1.04163059e-01 -3.72820682e-02 3.42873878e-01)
3.85            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.28363573e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
3.9             	U               	(7.18494845e-02 -7.49647391e-03 -1.68251011e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.03203993e+00 3.49839599e-03 1.26807180e-01)	(1.04166667e-01 -1.14258143e-02 2.35067918e-01)
3.9             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.99661888e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
3.95            	U               	(8.35773264e-02 -7.68412511e-03 -2.15903901e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.48210826e+00 9.19336485e-03 1.18991216e-01)	(1.04161933e-01 1.47134430e-02 -4.34581538e-01)
3.95            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.46549705e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
4               	U               	(8.89912238e-02 -7.03349531e-03 -2.31180619e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.65328028e+00 7.22496598e-03 1.86735319e-01)	(1.04161933e-01 1.47134430e-02 -4.34581538e-01)
4               	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	2.72122515e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)
4.05            	U               	(8.88565251e-02 -6.05114699e-03 -2.33334419e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.90854469e+00 5.78850366e-03 2.16553502e-01)	(1.04162120e-01 1.40398328e-02 -4.07786745e-01)
4.05            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	1.80824864e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
4.1             	U               	(8.31429010e-02 -4.69624014e-03 -2.20974851e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.80041377e+00 3.68552600e-02 2.56316826e-01)	(1.04166668e-01 1.24795253e-01 -3.91870719e-01)
4.1             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	7.82271731e+00	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
4.15            	U               	(8.16119091e-02 -3.09768654e-03 -1.93764334e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.93058114e+00 1.27793265e-02 2.40458169e-01)	(1.04166666e-01 6.61034903e-02 -3.72700766e-01)
4.15            	p               	-3.89223634e+00	(3.12500000e-01 1.62453040e-02 4.95562969e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.2             	U               	(6.60944304e-02 -1.00114434e-03 -1.56958974e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.77307909e+00 3.13447461e-03 2.09876326e-01)	(1.04166668e-01 8.65119179e-02 -3.36681685e-01)
4.2             	p               	-1.41832379e+01	(1.04166667e-01 1.27353431e-02 -1.27353432e-02)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.25            	U               	(4.59592775e-02 1.41296072e-03 -1.08119418e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.05258059e+00 2.63130339e-02 1.83937373e-01)	(1.04166667e-01 -2.63320844e-01 -3.11753926e-01)
4.25            	p               	-2.37200618e+01	(1.04166667e-01 1.27353431e-02 -1.27353432e-02)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.3             	U               	(1.21995659e-02 -1.39216809e-02 -5.58947710e-03)	(1.04166666e-01 4.67644854e-01 7.81573383e-02)	(7.99127812e-01 7.24161036e-02 1.34284035e-01)	(1.04166667e-01 -2.70968010e-01 -2.85363708e-01)
4.3             	p               	-3.17823344e+01	(1.04166667e-01 1.24868897e-02 8.86818670e-02)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.35            	U               	(-9.87700597e-02 -1.96168193e-02 -8.31266719e-03)	(1.04166666e-01 4.67644855e-01 -7.81573312e-02)	(6.05596370e-01 1.24535403e-01 8.96186345e-02)	(1.04166667e-01 -2.34665011e-01 -2.71783183e-01)
4.35            	p               	-3.79140862e+01	(1.04162664e-01 1.24402010e-02 3.44156757e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.4             	U               	(-1.48848345e-01 -1.13280232e-01 -4.61474392e-02)	(1.04166667e-01 3.74860007e-01 -2.38897370e-01)	(2.22538130e-01 1.93082228e-01 3.58423590e-02)	(1.04166667e-01 -2.49498360e-01 -2.49498360e-01)
4.4             	p               	-4.18394739e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.45            	U               	(-6.94542091e-01 -1.17947165e-02 -1.26146785e-02)	(3.12500000e-01 7.32865076e-02 4.29278968e-01)	(-2.21237883e-02 1.77959475e-01 1.83687801e-02)	(1.04166667e-01 -1.48178479e-01 -2.91490114e-01)
4.45            	p               	-4.31329650e+01	(1.04161576e-01 -1.62469780e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.5             	U               	(-1.11056919e+00 -2.31216499e-02 -6.35612338e-03)	(3.12500000e-01 2.53039280e-01 -3.42731516e-01)	(-6.25783199e-02 1.07924664e-02 1.78211323e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
4.5             	p               	-4.17034218e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.55            	U               	(-1.15488970e+00 -2.01080398e-03 -1.48504792e-02)	(5.20833333e-01 1.68399695e-01 3.48575906e-01)	(-7.45407597e-02 1.20302237e-02 2.25636863e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
4.55            	p               	-3.77412097e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.6             	U               	(-1.72232519e+00 -1.23597028e-02 -4.86961165e-03)	(3.12500000e-01 -2.68623925e-01 2.56145742e-01)	(-8.15762755e-02 1.32586485e-02 2.65908157e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
4.6             	p               	-3.13629533e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.65            	U               	(-1.89915723e+00 -3.54988274e-02 -1.11706992e-02)	(3.12500000e-01 -2.56145742e-01 2.68623925e-01)	(-8.15537411e-02 1.73262202e-02 3.51118968e-02)	(1.04166667e-01 -2.34124561e-01 4.37566951e-01)
4.65            	p               	-2.29829819e+01	(1.04166668e-01 -1.12774051e-01 -4.82940049e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.7             	U               	(-1.96105288e+00 -3.66575805e-01 -3.42402449e-01)	(1.04166667e-01 2.48942222e-01 -2.91697829e-01)	(-7.41835983e-02 1.82649323e-02 3.64926885e-02)	(1.04166667e-01 -2.62270845e-01 4.21434988e-01)
4.7             	p               	-1.31709158e+01	(1.04166666e-01 -2.04984173e-01 -4.51856272e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.75            	U               	(-1.97230093e+00 -3.50718275e-01 -3.67474468e-01)	(1.04166667e-01 1.81433634e-01 -3.13013329e-01)	(-3.77536102e-02 3.07887462e-02 1.19526371e-01)	(1.04166668e-01 -1.11172818e-01 4.74022503e-01)
4.75            	p               	-2.55532991e+00	(1.04166666e-01 -2.62270845e-01 -4.21434988e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
4.8             	U               	(-1.78645115e+00 -2.85973631e-01 -3.99415207e-01)	(1.04166667e-01 1.34683076e-01 -3.26297376e-01)	(1.69232430e-02 3.58654675e-02 2.14029172e-01)	(1.04166666e-01 -7.81573312e-02 4.67644855e-01)
4.8             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	8.47956936e+00	(1.04166667e-01 1.27353431e-02 1.27353431e-02)
4.85            	U               	(-1.53869269e+00 -2.26333545e-01 -4.19224612e-01)	(1.04166668e-01 1.10757223e-01 -3.31940049e-01)	(6.50160823e-02 3.67583930e-02 1.87784772e-01)	(1.04166668e-01 -1.08961562e-01 4.61707639e-01)
4.85            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	1.88114823e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
4.9             	U               	(-1.13587708e+00 -1.63379798e-01 -4.37403937e-01)	(1.04166668e-01 8.65119179e-02 -3.36681685e-01)	(6.64046324e-02 3.12041789e-02 1.47512448e-01)	(1.04166668e-01 -1.39314894e-01 4.53857465e-01)
4.9             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	2.79530655e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
4.95            	U               	(-9.05783124e-01 -1.48184824e-01 -3.88441761e-01)	(1.04166667e-01 8.08522842e-02 -3.05162209e-01)	(5.81934651e-01 2.51100246e-02 1.31156354e-01)	(1.04162638e-01 4.70235984e-02 4.71592471e-01)
4.95            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.53183599e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
5               	U               	(-3.74683819e-01 -1.24489717e-01 -3.16935582e-01)	(1.04166667e-01 5.69667966e-02 -2.32696208e-01)	(2.22188029e-01 1.40080655e-02 3.71875384e-01)	(1.04162856e-01 -4.20706632e-02 4.06147495e-01)
5               	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.04578652e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
5.05            	U               	(-4.29296300e-01 -9.24993182e-02 -1.03098253e-01)	(1.04166667e-01 -2.68623925e-01 -2.56145742e-01)	(3.62147328e-01 2.08374544e-02 3.40584419e-01)	(1.04166667e-01 -1.14258143e-02 2.35067918e-01)
5.05            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.30733638e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
5.1             	U               	(-1.04217703e-01 -1.33070519e-01 -3.38488040e-02)	(1.04166667e-01 -2.51045719e-01 -2.28166018e-01)	(5.70444921e-01 1.87227356e-02 2.55875753e-01)	(1.04163152e-01 -3.48262392e-02 3.10424030e-01)
5.1             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.30329792e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
5.15            	U               	(6.98910671e-02 -7.48395496e-03 -1.63348863e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(9.84771437e-01 4.25641262e-03 1.39878292e-01)	(1.04166667e-01 -1.14258143e-02 2.35067918e-01)
5.15            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.04993276e+01	(1.04161576e-01 -1.62469780e-02 4.95582873e-01)
5.2             	U               	(8.24779930e-02 -7.73922864e-03 -2.12871928e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.45693910e+00 9.47007538e-03 1.07983323e-01)	(1.04161933e-01 1.47134430e-02 -4.34581538e-01)
5.2             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.54938395e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
5.25            	U               	(8.85841644e-02 -7.14297295e-03 -2.29927568e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.63414146e+00 7.49120505e-03 1.78941330e-01)	(1.04161933e-01 1.47134430e-02 -4.34581538e-01)
5.25            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	2.83117249e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)
5.3             	U               	(8.91956379e-02 -6.19810384e-03 -2.33818833e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.89499182e+00 6.00205662e-03 2.10254483e-01)	(1.04162120e-01 1.40398328e-02 -4.07786745e-01)
5.3             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	1.93752412e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)
5.35            	U               	(8.42082632e-02 -4.89561141e-03 -2.23444874e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.95220509e+00 4.28995426e-03 2.46619315e-01)	(1.04162120e-01 1.40398328e-02 -4.07786745e-01)
5.35            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	9.23010173e+00	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
5.4             	U               	(8.32709479e-02 -3.34376106e-03 -1.97604341e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.90533757e+00 2.01084141e-02 2.41061109e-01)	(1.04166668e-01 9.22150258e-02 -3.68443277e-01)
5.4             	p               	-2.56242319e+00	(3.12500000e-01 1.62453040e-02 4.95562969e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.45            	U               	(6.84417853e-02 -1.30694699e-03 -1.62653484e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.69880741e+00 2.81180700e-03 2.55273072e-01)	(1.04166666e-01 6.99416426e-02 -4.02932595e-01)
5.45            	p               	-1.28339887e+01	(1.04166667e-01 1.27353431e-02 -1.27353432e-02)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.5             	U               	(4.88428675e-02 1.08979016e-03 -1.15100522e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.08544339e+00 2.10397606e-02 1.88771816e-01)	(1.04166667e-01 -2.63320844e-01 -3.11753926e-01)
5.5             	p               	-2.25256779e+01	(1.04166667e-01 1.27353431e-02 -1.27353432e-02)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.55            	U               	(1.71066990e-02 -8.32247233e-03 -6.62741138e-03)	(1.04166667e-01 4.55782501e-01 1.72491393e-01)	(8.38743594e-01 6.62123241e-02 1.40025180e-01)	(1.04166667e-01 -2.70968010e-01 -2.85363708e-01)
5.55            	p               	-3.08140305e+01	(1.04166667e-01 1.27353431e-02 1.27353431e-02)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.6             	U               	(-1.24678673e-01 -1.62406643e-02 -4.53031295e-03)	(3.12500000e-01 3.21928558e-01 -3.42916877e-01)	(6.52415044e-01 1.17651204e-01 9.54016853e-02)	(1.04166667e-01 -2.34665011e-01 -2.71783183e-01)
5.6             	p               	-3.72223052e+01	(1.04163015e-01 1.16198326e-02 3.11524224e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.65            	U               	(-2.84651375e-01 -2.28953574e-03 -1.69495860e-02)	(3.12500000e-01 1.52637425e-02 4.56512200e-01)	(2.70928532e-01 1.85193704e-01 4.26419586e-02)	(1.04166667e-01 -2.49498360e-01 -2.49498360e-01)
5.65            	p               	-4.14631215e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.7             	U               	(-6.39334504e-01 -1.19529637e-02 -1.46712445e-02)	(3.12500000e-01 7.32865076e-02 4.29278968e-01)	(3.39179011e-02 1.98144930e-01 1.95058212e-02)	(1.04166667e-01 -1.64795748e-01 -2.61618625e-01)
5.7             	p               	-4.31180941e+01	(1.04161576e-01 -1.62469780e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.75            	U               	(-1.06576122e+00 -2.39529176e-02 -5.96444401e-03)	(3.12500000e-01 2.53039280e-01 -3.42731516e-01)	(-6.06049767e-02 1.06282618e-02 1.71498331e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
5.75            	p               	-4.20426401e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.8             	U               	(-1.17288874e+00 -9.91342351e-03 -1.24697134e-02)	(5.20833333e-01 3.98708239e-01 -1.86157814e-01)	(-7.32864975e-02 1.18670431e-02 2.19711675e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
5.8             	p               	-3.84088986e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.85            	U               	(-1.72135479e+00 -6.91589894e-03 -2.44681410e-03)	(3.12500000e-01 3.62912137e-01 -1.18012057e-01)	(-8.09621505e-02 1.31017555e-02 2.61095275e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)
5.85            	p               	-3.23344545e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.9             	U               	(-1.88161007e+00 -3.25678684e-02 -9.81608081e-03)	(3.12500000e-01 -2.56145742e-01 2.68623925e-01)	(-7.79738773e-02 1.62111618e-02 3.46316761e-02)	(1.04166667e-01 -2.04984174e-01 4.51856272e-01)
5.9             	p               	-2.41893474e+01	(1.04166666e-01 -8.09014777e-02 -4.89259577e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
5.95            	U               	(-1.96713249e+00 -4.16386592e-01 -3.09578028e-01)	(1.04166667e-01 2.34665011e-01 -2.71783183e-01)	(-7.59376149e-02 1.82460826e-02 3.63749890e-02)	(1.04166667e-01 -2.62270845e-01 4.21434988e-01)
5.95            	p               	-1.45319397e+01	(1.04166667e-01 2.04984182e-01 4.51856268e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
6               	U               	(-2.06591927e+00 -3.57872588e-01 -3.64420519e-01)	(1.04166668e-01 2.26737066e-01 -2.98624805e-01)	(-5.15667652e-02 3.14330418e-02 1.19930024e-01)	(1.04166668e-01 -1.11172818e-01 4.74022503e-01)
6               	p               	-3.98515937e+00	(1.04166667e-01 2.62270856e-01 -4.21434981e-01)	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)
6.05            	U               	(-1.78813849e+00 -2.89773287e-01 -3.98608912e-01)	(1.04166667e-01 1.34683076e-01 -3.26297376e-01)	(-8.60601820e-03 3.75170572e-02 2.15633615e-01)	(1.04166666e-01 -7.81573312e-02 4.67644855e-01)
6.05            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	7.09651294e+00	(1.04162363e-01 3.77040400e-01 -1.32668768e-02)
6.1             	U               	(-1.55528009e+00 -2.31031240e-01 -4.21122056e-01)	(1.04166668e-01 1.10757223e-01 -3.31940049e-01)	(4.53503456e-02 3.94806017e-02 1.91680095e-01)	(1.04166668e-01 -1.08961562e-01 4.61707639e-01)
6.1             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	1.74959322e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
6.15            	U               	(-1.18288794e+00 -1.97107361e-01 -4.33278300e-01)	(1.04166667e-01 8.08522842e-02 -3.05162209e-01)	(5.04594504e-02 3.47081822e-02 1.53195183e-01)	(1.04166668e-01 -1.39314894e-01 4.53857465e-01)
6.15            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	2.68321098e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
6.2             	U               	(-9.44405070e-01 -1.54318783e-01 -3.95337127e-01)	(1.04166667e-01 8.08522842e-02 -3.05162209e-01)	(5.71768379e-01 2.31493918e-02 1.36934207e-01)	(1.04162638e-01 4.70235984e-02 4.71592471e-01)
6.2             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.44617895e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
6.25            	U               	(-4.15992838e-01 -1.30894681e-01 -3.24722645e-01)	(1.04166667e-01 5.69667966e-02 -2.32696208e-01)	(1.84305397e-01 1.63785757e-02 3.83176789e-01)	(1.04162856e-01 -4.20706632e-02 4.06147495e-01)
6.25            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.99173857e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
6.3             	U               	(-4.96817512e-01 -9.58456866e-02 -1.30950758e-01)	(1.04166667e-01 1.05013881e-01 -1.81124578e-01)	(3.27599451e-01 2.23023638e-02 3.52469937e-01)	(1.04166667e-01 -1.14258143e-02 2.35067918e-01)
6.3             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.28803842e+01	(1.04161576e-01 1.62469915e-02 -4.95582873e-01)
6.35            	U               	(-1.61598872e-01 -1.26795311e-01 -4.29301017e-02)	(1.04166667e-01 -2.51045719e-01 -2.28166018e-01)	(5.21895117e-01 2.13264123e-02 2.71949964e-01)	(1.04163152e-01 -3.48262392e-02 3.10424030e-01)
6.35            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.31885073e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)
6.4             	U               	(6.78671788e-02 -7.45516705e-03 -1.58190539e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.00219365e+00 5.35874694e-04 1.58905741e-01)	(1.04162664e-01 -1.24401978e-02 3.44156757e-01)
