# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
11.85           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054209e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
11.9            	U               	(1.94937895e-02 7.07859638e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07859638e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
11.9            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054189e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
11.95           	U               	(1.94937895e-02 7.07859843e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07859843e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
11.95           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054167e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12              	U               	(1.94937895e-02 7.07855989e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07855989e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12              	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054167e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.05           	U               	(1.94937895e-02 7.07864072e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07864072e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.05           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054501e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
12.1            	U               	(1.94937895e-02 7.07858301e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07858301e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.1            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054274e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
12.15           	U               	(1.94937895e-02 7.07857740e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07857740e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.15           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054120e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.2            	U               	(1.94937895e-02 7.07859365e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07859365e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.2            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054097e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.25           	U               	(1.94937895e-02 7.07858904e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07858904e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.25           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054072e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.3            	U               	(1.94937895e-02 7.07855739e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07855739e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.3            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054072e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.35           	U               	(1.94937895e-02 7.07863010e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07863010e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.35           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054410e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
12.4            	U               	(1.94937895e-02 7.07857878e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07857878e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.4            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054177e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
12.45           	U               	(1.94937895e-02 7.07855226e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07855226e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.45           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054025e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.5            	U               	(1.94937895e-02 7.07859664e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07859664e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.5            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054004e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.55           	U               	(1.94937895e-02 7.07858705e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07858705e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.55           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053981e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.6            	U               	(1.94937895e-02 7.07858944e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07858944e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.6            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053981e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.65           	U               	(1.94937895e-02 7.07859214e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07859214e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.65           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053960e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.7            	U               	(1.94937895e-02 7.07859995e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07859995e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.7            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054160e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
12.75           	U               	(1.94937895e-02 7.07859149e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07859149e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.75           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054040e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
12.8            	U               	(1.94937895e-02 7.07858229e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07858229e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.8            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053923e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.85           	U               	(1.94937895e-02 7.07860078e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07860078e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.85           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053908e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
12.9            	U               	(1.94937895e-02 7.07857720e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07857720e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.9            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054189e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
12.95           	U               	(1.94937895e-02 7.07860482e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07860482e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
12.95           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054007e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13              	U               	(1.94937895e-02 7.07860649e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07860649e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13              	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053879e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.05           	U               	(1.94937895e-02 7.07860544e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07860544e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.05           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053867e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.1            	U               	(1.94937895e-02 7.07860400e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07860400e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.1            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053855e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.15           	U               	(1.94937895e-02 7.07863464e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07863464e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.15           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053855e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.2            	U               	(1.94937895e-02 7.07858327e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937895e-02 7.07858327e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.2            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054204e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13.25           	U               	(1.94937894e-02 7.07861879e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07861879e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.25           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053988e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13.3            	U               	(1.94937894e-02 7.07860393e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07860393e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.3            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053837e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.35           	U               	(1.94937894e-02 7.07862086e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07862086e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.35           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053829e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.4            	U               	(1.94937894e-02 7.07861361e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07861361e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.4            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053821e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.45           	U               	(1.94937894e-02 7.07862705e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07862705e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.45           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053821e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.5            	U               	(1.94937894e-02 7.07861984e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07861984e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.5            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053814e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.55           	U               	(1.94937894e-02 7.07861899e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07861899e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.55           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054029e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13.6            	U               	(1.94937894e-02 7.07862301e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07862301e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.6            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053927e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13.65           	U               	(1.94937894e-02 7.07861118e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07861118e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.65           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053806e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.7            	U               	(1.94937894e-02 7.07863011e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07863011e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.7            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053803e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
13.75           	U               	(1.94937894e-02 7.07860318e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07860318e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.75           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054120e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13.8            	U               	(1.94937894e-02 7.07863372e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07863372e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.8            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053936e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13.85           	U               	(1.94937894e-02 7.07863234e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07863234e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.85           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053888e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13.9            	U               	(1.94937894e-02 7.07866689e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07866689e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.9            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053888e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
13.95           	U               	(1.94937894e-02 7.07859215e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07859215e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
13.95           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053800e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
14              	U               	(1.94937894e-02 7.07864653e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07864653e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14              	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053801e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
14.05           	U               	(1.94937894e-02 7.07865891e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07865891e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.05           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054259e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.1            	U               	(1.94937894e-02 7.07863503e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07863503e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.1            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053963e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.15           	U               	(1.94937894e-02 7.07864216e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07864216e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.15           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053916e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.2            	U               	(1.94937894e-02 7.07868187e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07868187e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.2            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053916e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.25           	U               	(1.94937894e-02 7.07863950e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07863950e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.25           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053864e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.3            	U               	(1.94937894e-02 7.07857779e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07857779e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.3            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053816e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
14.35           	U               	(1.94937894e-02 7.07866705e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07866705e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.35           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053821e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
14.4            	U               	(1.94937894e-02 7.07865975e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07865975e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.4            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054196e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.45           	U               	(1.94937894e-02 7.07864714e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07864714e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.45           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053965e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.5            	U               	(1.94937894e-02 7.07864799e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07864799e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.5            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053927e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.55           	U               	(1.94937894e-02 7.07867736e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07867736e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.55           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053927e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.6            	U               	(1.94937894e-02 7.07861291e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07861291e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.6            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053839e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
14.65           	U               	(1.94937894e-02 7.07865807e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07865807e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.65           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053844e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
14.7            	U               	(1.94937894e-02 7.07868929e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07868929e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.7            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054283e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.75           	U               	(1.94937894e-02 7.07864060e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07864060e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.75           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054014e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.8            	U               	(1.94937894e-02 7.07865333e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07865333e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.8            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053965e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.85           	U               	(1.94937894e-02 7.07866883e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07866883e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.85           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053965e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.9            	U               	(1.94937894e-02 7.07864889e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07864889e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.9            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053916e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
14.95           	U               	(1.94937894e-02 7.07861403e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07861403e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
14.95           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053869e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
15              	U               	(1.94937894e-02 7.07866326e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07866326e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
15              	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97053875e-01	(5.10204081e-02 -4.70214048e-01 0.00000000e+00)
15.05           	U               	(1.94937894e-02 7.07866133e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07866133e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
15.05           	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054235e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
15.1            	U               	(1.94937894e-02 7.07865114e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07865114e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
15.1            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	7.97054016e-01	(5.10204082e-02 4.70214048e-01 0.00000000e+00)
15.15           	U               	(1.94937894e-02 7.07865395e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94937894e-02 7.07865395e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
